game_id,season,game,opp_id,opp_name,conference,division,city,state,talons_score,opp_score,home_away,margin,win_loss,games_above_500,record,percentage
cht_2030_1,2030,1,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,131,115,H,16,win,1,1 W 0 L,1.0
cht_2030_2,2030,2,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,129,89,A,40,win,2,2 W 0 L,1.0
cht_2030_3,2030,3,DAL,Mavericks,Western,Southwest,Charlotte,North Carolina,148,94,H,54,win,3,3 W 0 L,1.0
cht_2030_4,2030,4,SAC,Kings,Western,Pacific,Charlotte,North Carolina,130,114,H,16,win,4,4 W 0 L,1.0
cht_2030_5,2030,5,DET,Pistons,Eastern,Central,Detroit,Michigan,127,94,A,33,win,5,5 W 0 L,1.0
cht_2030_6,2030,6,BOS,Celtics,Eastern,Atlantic,Charlotte,North Carolina,143,99,H,44,win,6,6 W 0 L,1.0
cht_2030_7,2030,7,SAS,Spurs,Western,Southwest,Charlotte,North Carolina,126,92,H,34,win,7,7 W 0 L,1.0
cht_2030_8,2030,8,DET,Pistons,Eastern,Central,Detroit,Michigan,132,83,A,49,win,8,8 W 0 L,1.0
cht_2030_9,2030,9,LAL,Lakers,Western,Pacific,Charlotte,North Carolina,118,94,H,24,win,9,9 W 0 L,1.0
cht_2030_10,2030,10,ATL,Hawks,Eastern,Southeast,Charlotte,North Carolina,105,109,H,-4,loss,8,9 W 1 L,0.9
cht_2030_11,2030,11,PHX,Suns,Western,Pacific,Phoenix,Arizona,111,108,A,3,win,9,10 W 1 L,0.909
cht_2030_12,2030,12,SAC,Kings,Western,Pacific,Sacramento,California,112,93,A,19,win,10,11 W 1 L,0.917
cht_2030_13,2030,13,KCK,Knights,Western,Northwest,Kansas City,Missouri,134,96,A,38,win,11,12 W 1 L,0.923
cht_2030_14,2030,14,BOS,Celtics,Eastern,Atlantic,Boston,Massachusetts,108,92,A,16,win,12,13 W 1 L,0.929
cht_2030_15,2030,15,ATL,Hawks,Eastern,Southeast,Charlotte,North Carolina,121,103,H,18,win,13,14 W 1 L,0.933
cht_2030_16,2030,16,NOLA,Pelicans,Western,Southwest,Charlotte,North Carolina,110,101,H,9,win,14,15 W 1 L,0.938
cht_2030_17,2030,17,ORL,Magic,Eastern,Southeast,Charlotte,North Carolina,147,109,H,38,win,15,16 W 1 L,0.941
cht_2030_18,2030,18,STL,Sound,Western,Northwest,Charlotte,North Carolina,102,97,H,5,win,16,17 W 1 L,0.944
cht_2030_19,2030,19,NAS,Stars,Eastern,Central,Charlotte,North Carolina,110,97,H,13,win,17,18 W 1 L,0.947
cht_2030_20,2030,20,WAS,Wizards,Eastern,Southeast,Washington,District of Columbia,128,102,A,26,win,18,19 W 1 L,0.95
cht_2030_21,2030,21,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,117,103,H,14,win,19,20 W 1 L,0.952
cht_2030_22,2030,22,CLE,Cavaliers,Eastern,Central,Charlotte,North Carolina,123,83,H,40,win,20,21 W 1 L,0.955
cht_2030_23,2030,23,ORL,Magic,Eastern,Southeast,Orlando,Florida,129,115,A,14,win,21,22 W 1 L,0.957
cht_2030_24,2030,24,MEM,Grizzlies,Western,Southwest,Charlotte,North Carolina,120,84,H,36,win,22,23 W 1 L,0.958
cht_2030_25,2030,25,PHI,76ers,Eastern,Atlantic,Philadelphia,Pennsylvania,130,71,A,59,win,23,24 W 1 L,0.96
cht_2030_26,2030,26,ATL,Hawks,Eastern,Southeast,Atlanta,Georgia,90,94,A,-4,loss,22,24 W 2 L,0.923
cht_2030_27,2030,27,MIA,Heat,Eastern,Southeast,Charlotte,North Carolina,132,130,H,2,win,23,25 W 2 L,0.926
cht_2030_28,2030,28,VIR,Storm,Eastern,Southeast,Richmond,Virginia,118,114,A,4,win,24,26 W 2 L,0.929
cht_2030_29,2030,29,BAL,Barons,Eastern,Atlantic,Baltimore,Maryland,116,65,A,51,win,25,27 W 2 L,0.931
cht_2030_30,2030,30,POR,Blazers,Western,Northwest,Charlotte,North Carolina,115,69,H,46,win,26,28 W 2 L,0.933
cht_2030_31,2030,31,OKC,Thunder,Western,Southwest,Charlotte,North Carolina,113,73,H,40,win,27,29 W 2 L,0.935
cht_2030_32,2030,32,ORL,Magic,Eastern,Southeast,Orlando,Florida,116,102,A,14,win,28,30 W 2 L,0.938
cht_2030_33,2030,33,PHI,76ers,Eastern,Atlantic,Charlotte,North Carolina,143,81,H,62,win,29,31 W 2 L,0.939
cht_2030_34,2030,34,GSW,Warriors,Western,Pacific,San Francisco,California,134,124,A,10,win,30,32 W 2 L,0.941
cht_2030_35,2030,35,MIA,Heat,Eastern,Southeast,Miami,Florida,119,94,A,25,win,31,33 W 2 L,0.943
cht_2030_36,2030,36,MIA,Heat,Eastern,Southeast,Charlotte,North Carolina,108,85,H,23,win,32,34 W 2 L,0.944
cht_2030_37,2030,37,VIR,Storm,Eastern,Southeast,Charlotte,North Carolina,123,119,H,4,win,33,35 W 2 L,0.946
cht_2030_38,2030,38,PHX,Suns,Western,Pacific,Charlotte,North Carolina,125,102,H,23,win,34,36 W 2 L,0.947
cht_2030_39,2030,39,LAC,Clippers,Western,Pacific,Los Angeles,California,98,77,A,21,win,35,37 W 2 L,0.949
cht_2030_40,2030,40,MIL,Bucks,Western,Northwest,Charlotte,North Carolina,140,86,H,54,win,36,38 W 2 L,0.95
cht_2030_41,2030,41,IND,Pacers,Eastern,Central,Charlotte,North Carolina,126,88,H,38,win,37,39 W 2 L,0.951
cht_2030_42,2030,42,HOU,Rockets,Western,Southwest,Houston,Texas,130,103,A,27,win,38,40 W 2 L,0.952
