game_id,season,game,opp_id,opp_name,conference,division,city,state,talons_score,opp_score,home_away,margin,win_loss,games_above_500,record,percentage
cht_2038_1,2038,1,BOS,Celtics,Eastern,Atlantic,Boston,Massachusetts,148,102,A,46,win,1,1 W 0 L,1.0
cht_2038_2,2038,2,SAS,Spurs,Western,Southwest,Charlotte,North Carolina,134,142,H,-8,loss,0,1 W 1 L,0.5
cht_2038_3,2038,3,PHI,76ers,Eastern,Atlantic,Charlotte,North Carolina,129,119,H,10,win,1,2 W 1 L,0.667
cht_2038_4,2038,4,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,125,138,A,-13,loss,0,2 W 2 L,0.5
cht_2038_5,2038,5,MIA,Heat,Eastern,Southeast,Charlotte,North Carolina,123,131,H,-8,loss,0,2 W 3 L,0.4
cht_2038_6,2038,6,CLE,Cavaliers,Eastern,Central,Charlotte,North Carolina,138,141,H,-3,loss,0,2 W 4 L,0.333
cht_2038_7,2038,7,HOU,Rockets,Western,Southwest,Charlotte,North Carolina,125,112,H,13,win,0,3 W 4 L,0.429
cht_2038_8,2038,8,POR,Blazers,Western,Northwest,Portland,Oregon,144,111,A,33,win,0,4 W 4 L,0.5
cht_2038_9,2038,9,WAS,Wizards,Eastern,Southeast,Charlotte,North Carolina,134,116,H,18,win,1,5 W 4 L,0.556
cht_2038_10,2038,10,LAL,Lakers,Western,Pacific,Los Angeles,California,141,126,A,15,win,2,6 W 4 L,0.6
cht_2038_11,2038,11,NOLA,Pelicans,Western,Southwest,New Orleans,Louisiana,121,102,A,19,win,3,7 W 4 L,0.636
cht_2038_12,2038,12,NYK,Knicks,Eastern,Atlantic,New York City,New York,154,105,A,49,win,4,8 W 4 L,0.667
cht_2038_13,2038,13,LAL,Lakers,Western,Pacific,Charlotte,North Carolina,142,109,H,33,win,5,9 W 4 L,0.692
cht_2038_14,2038,14,OKC,Thunder,Western,Southwest,Charlotte,North Carolina,123,119,H,4,win,6,10 W 4 L,0.714
cht_2038_15,2038,15,PHI,76ers,Eastern,Atlantic,Philadelphia,Pennsylvania,142,120,A,22,win,7,11 W 4 L,0.733
cht_2038_16,2038,16,UTA,Jazz,Western,Pacific,Charlotte,North Carolina,144,113,H,31,win,8,12 W 4 L,0.75
cht_2038_17,2038,17,CLE,Cavaliers,Eastern,Central,Charlotte,North Carolina,131,108,H,23,win,9,13 W 4 L,0.765
cht_2038_18,2038,18,MIA,Heat,Eastern,Southeast,Miami,Florida,117,123,A,-6,loss,8,13 W 5 L,0.722
cht_2038_19,2038,19,DET,Pistons,Eastern,Central,Charlotte,North Carolina,120,102,H,18,win,9,14 W 5 L,0.737
cht_2038_20,2038,20,VIR,Storm,Eastern,Southeast,Richmond,Virginia,118,145,A,-27,loss,8,14 W 6 L,0.7
cht_2038_21,2038,21,ORL,Magic,Eastern,Southeast,Orlando,Florida,157,134,A,23,win,9,15 W 6 L,0.714
cht_2038_22,2038,22,BOS,Celtics,Eastern,Atlantic,Charlotte,North Carolina,140,106,H,34,win,10,16 W 6 L,0.727
cht_2038_23,2038,23,WAS,Wizards,Eastern,Southeast,Washington,District of Columbia,145,137,A,8,win,11,17 W 6 L,0.739
cht_2038_24,2038,24,MEM,Grizzlies,Western,Southwest,Charlotte,North Carolina,156,145,H,11,win,12,18 W 6 L,0.75
cht_2038_25,2038,25,BKN,Nets,Eastern,Atlantic,Charlotte,North Carolina,125,120,H,5,win,13,19 W 6 L,0.76
cht_2038_26,2038,26,DEN,Nuggets,Western,Northwest,Charlotte,North Carolina,146,119,H,27,win,14,20 W 6 L,0.769
cht_2038_27,2038,27,KCK,Knights,Western,Northwest,Charlotte,North Carolina,133,142,H,-9,loss,13,20 W 7 L,0.741
cht_2038_28,2038,28,GSW,Warriors,Western,Pacific,San Francisco,California,149,119,A,30,win,14,21 W 7 L,0.75
cht_2038_29,2038,29,BAL,Barons,Eastern,Atlantic,Charlotte,North Carolina,115,134,H,-19,loss,13,21 W 8 L,0.724
cht_2038_30,2038,30,TOR,Raptors,Eastern,Atlantic,Toronto,Canada,158,95,A,63,win,14,22 W 8 L,0.733
cht_2038_31,2038,31,SAC,Kings,Western,Pacific,Sacramento,California,135,103,A,32,win,15,23 W 8 L,0.742
cht_2038_32,2038,32,CHA,Hornets,Eastern,Southeast,Charlotte,North Carolina,131,112,H,19,win,16,24 W 8 L,0.75
cht_2038_33,2038,33,NAS,Stars,Eastern,Central,Nashville,Tennessee,124,112,A,12,win,17,25 W 8 L,0.758
cht_2038_34,2038,34,BAL,Barons,Eastern,Atlantic,Baltimore,Maryland,124,132,A,-8,loss,16,25 W 9 L,0.735
cht_2038_35,2038,35,NYK,Knicks,Eastern,Atlantic,Charlotte,North Carolina,136,94,H,42,win,17,26 W 9 L,0.743
cht_2038_36,2038,36,BOS,Celtics,Eastern,Atlantic,Boston,Massachusetts,157,140,A,17,win,18,27 W 9 L,0.75
cht_2038_37,2038,37,DEN,Nuggets,Western,Northwest,Denver,Colorado,133,124,A,9,win,19,28 W 9 L,0.757
cht_2038_38,2038,38,POR,Blazers,Western,Northwest,Charlotte,North Carolina,123,114,H,9,win,20,29 W 9 L,0.763
cht_2038_39,2038,39,IND,Pacers,Eastern,Central,Indianapolis,Indiana,114,113,A,1,win,21,30 W 9 L,0.769
cht_2038_40,2038,40,SAS,Spurs,Western,Southwest,San Antonio,Texas,120,91,A,29,win,22,31 W 9 L,0.775
cht_2038_41,2038,41,MIN,Timberwolves,Western,Northwest,Charlotte,North Carolina,143,107,H,36,win,23,32 W 9 L,0.78
cht_2038_42,2038,42,IND,Pacers,Eastern,Central,Charlotte,North Carolina,146,119,H,27,win,24,33 W 9 L,0.786
cht_2038_43,2038,43,BAL,Barons,Eastern,Atlantic,Baltimore,Maryland,144,92,A,52,win,25,34 W 9 L,0.791
cht_2038_44,2038,44,KCK,Knights,Western,Northwest,Kansas City,Missouri,125,110,A,15,win,26,35 W 9 L,0.795
cht_2038_45,2038,45,NOLA,Pelicans,Western,Southwest,Charlotte,North Carolina,144,133,H,11,win,27,36 W 9 L,0.8
cht_2038_46,2038,46,NYK,Knicks,Eastern,Atlantic,New York City,New York,133,141,A,-8,loss,26,36 W 10 L,0.783
cht_2038_47,2038,47,SAC,Kings,Western,Pacific,Charlotte,North Carolina,103,106,H,-3,loss,25,36 W 11 L,0.766
