season,game,opp_id,opp_name,home/away,talons score,opp score,conference,division,city,state
2042,1,VIR,Storm,H,130,101,Eastern,Southeast,Charlotte,North Carolina
2042,2,KCK,Knights,H,109,96,Western,Northwest,Charlotte,North Carolina
2042,3,GSW,Warriors,A,100,85,Western,Pacific,San Francisco,California
2042,4,UTA,Jazz,H,101,90,Western,Pacific,Charlotte,North Carolina
2042,5,BAL,Barons,H,90,100,Eastern,Atlantic,Charlotte,North Carolina
2042,6,SAC,Kings,H,103,93,Western,Pacific,Charlotte,North Carolina
2042,7,BOS,Celtics,A,119,112,Eastern,Atlantic,Boston,Massachusetts
2042,8,BOS,Celtics,A,104,116,Eastern,Atlantic,Boston,Massachusetts
2042,9,DAL,Mavericks,H,103,110,Western,Southwest,Charlotte,North Carolina
2042,10,BAL,Barons,A,77,122,Eastern,Atlantic,Baltimore,Maryland
2042,11,CHA,Hornets,A,101,104,Eastern,Southeast,Charlotte,North Carolina
2042,12,LAC,Clippers,A,113,99,Western,Pacific,Los Angeles,California
2042,13,NYK,Knicks,A,87,105,Eastern,Atlantic,New York City,New York
2042,14,BOS,Celtics,H,103,79,Eastern,Atlantic,Charlotte,North Carolina
2042,15,PHI,76ers,A,117,103,Eastern,Atlantic,Philadelphia,Pennsylvania
2042,16,SAS,Spurs,H,117,100,Western,Southwest,Charlotte,North Carolina
2042,17,ATL,Hawks,A,123,101,Eastern,Southeast,Atlanta,Georgia
2042,18,VIR,Storm,A,85,119,Eastern,Southeast,Richmond,Virginia
2042,19,IND,Pacers,H,126,102,Eastern,Central,Charlotte,North Carolina
2042,20,CHI,Bulls,A,122,103,Eastern,Central,Chicago,Illinois
2042,21,MIL,Bucks,H,105,113,Western,Northwest,Charlotte,North Carolina
2042,22,KCK,Knights,A,100,115,Western,Northwest,Kansas City,Missouri
2042,23,NAS,Stars,A,98,86,Eastern,Central,Nashville,Tennessee
2042,24,BKN,Nets,A,110,81,Eastern,Atlantic,Brooklyn,New York
2042,25,UTA,Jazz,A,96,76,Western,Pacific,Salt Lake City,Utah
2042,26,STL,Sound,H,98,126,Western,Northwest,Charlotte,North Carolina
2042,27,IND,Pacers,H,124,98,Eastern,Central,Charlotte,North Carolina
2042,28,PHX,Suns,A,100,77,Western,Pacific,Phoenix,Arizona
2042,29,BKN,Nets,A,110,115,Eastern,Atlantic,Brooklyn,New York
2042,30,ORL,Magic,H,116,89,Eastern,Southeast,Charlotte,North Carolina
2042,31,POR,Blazers,A,109,120,Western,Northwest,Portland,Oregon
2042,32,BOS,Celtics,H,134,105,Eastern,Atlantic,Charlotte,North Carolina
2042,33,TOR,Raptors,H,106,99,Eastern,Atlantic,Charlotte,North Carolina
2042,34,MIA,Heat,A,88,91,Eastern,Southeast,Miami,Florida
2042,35,BKN,Nets,H,104,95,Eastern,Atlantic,Charlotte,North Carolina
2042,36,BAL,Barons,H,110,103,Eastern,Atlantic,Charlotte,North Carolina
2042,37,BAL,Barons,A,100,130,Eastern,Atlantic,Baltimore,Maryland
2042,38,POR,Blazers,H,97,105,Western,Northwest,Charlotte,North Carolina
2042,39,CHI,Bulls,H,75,84,Eastern,Central,Charlotte,North Carolina
2042,40,WAS,Wizards,A,104,97,Eastern,Southeast,Washington,District of Columbia
2042,41,MIN,Timberwolves,H,119,95,Western,Northwest,Charlotte,North Carolina
2042,42,WAS,Wizards,H,119,94,Eastern,Southeast,Charlotte,North Carolina
2042,43,MIA,Heat,H,97,86,Eastern,Southeast,Charlotte,North Carolina
2042,44,LAL,Lakers,A,114,109,Western,Pacific,Los Angeles,California
2042,45,ATL,Hawks,H,107,99,Eastern,Southeast,Charlotte,North Carolina
2042,46,MIN,Timberwolves,A,90,85,Western,Northwest,Minnenapolis,Minnesota
2042,47,DEN,Nuggets,H,97,87,Western,Northwest,Charlotte,North Carolina
2042,48,HOU,Rockets,H,110,91,Western,Southwest,Charlotte,North Carolina
2042,49,MEM,Grizzlies,A,105,117,Western,Southwest,Memphis,Tennessee
2042,50,DEN,Nuggets,A,119,111,Western,Northwest,Denver,Colorado
2042,51,LAL,Lakers,H,101,94,Western,Pacific,Charlotte,North Carolina
2042,52,SAS,Spurs,A,94,78,Western,Southwest,San Antonio,Texas
2042,53,SAC,Kings,A,103,111,Western,Pacific,Sacramento,California
2042,54,NOLA,Pelicans,H,119,111,Western,Southwest,Charlotte,North Carolina
2042,55,ORL,Magic,A,95,127,Eastern,Southeast,Orlando,Florida
2042,56,BKN,Nets,H,117,76,Eastern,Atlantic,Charlotte,North Carolina
2042,57,OKC,Thunder,A,109,88,Western,Southwest,Oklahoma City,Oklahoma
2042,58,PHI,76ers,H,111,106,Eastern,Atlantic,Charlotte,North Carolina
2042,59,DET,Pistons,H,94,115,Eastern,Central,Charlotte,North Carolina
2042,60,NYK,Knicks,H,127,84,Eastern,Atlantic,Charlotte,North Carolina
2042,61,PHI,76ers,H,130,101,Eastern,Atlantic,Charlotte,North Carolina
2042,62,CLE,Cavaliers,H,120,84,Eastern,Central,Charlotte,North Carolina
2042,63,CHA,Hornets,H,96,116,Eastern,Southeast,Charlotte,North Carolina
2042,64,DAL,Mavericks,A,88,87,Western,Southwest,Dallas,Texas
2042,65,OKC,Thunder,H,98,112,Western,Southwest,Charlotte,North Carolina
2042,66,MIL,Bucks,A,107,106,Western,Northwest,Milwaukee,Wisconsin
2042,67,HOU,Rockets,A,130,120,Western,Southwest,Houston,Texas
2042,68,GSW,Warriors,H,115,102,Western,Pacific,Charlotte,North Carolina
2042,69,TOR,Raptors,A,126,80,Eastern,Atlantic,Toronto,Canada
2042,70,CLE,Cavaliers,A,140,123,Eastern,Central,Cleveland,Ohio
2042,71,PHI,76ers,A,111,107,Eastern,Atlantic,Philadelphia,Pennsylvania
2042,72,NAS,Stars,H,117,80,Eastern,Central,Charlotte,North Carolina
2042,73,ATL,Hawks,A,119,95,Eastern,Southeast,Atlanta,Georgia
2042,74,PHX,Suns,H,126,103,Western,Pacific,Charlotte,North Carolina
2042,75,NYK,Knicks,H,116,88,Eastern,Atlantic,Charlotte,North Carolina
2042,76,DET,Pistons,A,108,97,Eastern,Central,Detroit,Michigan
2042,77,NOLA,Pelicans,A,83,100,Western,Southwest,New Orleans,Louisiana
2042,78,LAC,Clippers,H,111,85,Western,Pacific,Charlotte,North Carolina
2042,79,IND,Pacers,A,109,104,Eastern,Central,Indianapolis,Indiana
2042,80,NYK,Knicks,A,80,96,Eastern,Atlantic,New York City,New York
2042,81,MEM,Grizzlies,H,92,98,Western,Southwest,Charlotte,North Carolina
